Reegiao_Geografica,Ano,Focos
Centro-Oeste,1998,43007
Centro-Oeste,1999,59975
Centro-Oeste,2000,31949
Centro-Oeste,2001,42391
Centro-Oeste,2002,86319
Centro-Oeste,2003,78175
Centro-Oeste,2004,110448
Centro-Oeste,2005,89032
Centro-Oeste,2006,49678
Centro-Oeste,2007,102222
Centro-Oeste,2008,37416
Centro-Oeste,2009,23043
Centro-Oeste,2010,77697
Centro-Oeste,2011,24583
Centro-Oeste,2012,40169
Centro-Oeste,2013,23269
Centro-Oeste,2014,31800
Centro-Oeste,2015,34472
Centro-Oeste,2016,37325
Centro-Oeste,2017,41963
Centro-Oeste,2018,22463
Centro-Oeste,2019,47305
Centro-Oeste,2020,62949
Centro-Oeste,2021,37038
Centro-Oeste,2022,34056
Centro-Oeste,2023,22532
Centro-Oeste,2024,69193
Centro-Oeste,2025,17178
Nordeste,1998,25030
Nordeste,1999,14796
Nordeste,2000,18760
Nordeste,2001,34524
Nordeste,2002,49661
Nordeste,2003,57636
Nordeste,2004,47370
Nordeste,2005,54315
Nordeste,2006,31945
Nordeste,2007,84371
Nordeste,2008,39436
Nordeste,2009,25821
Nordeste,2010,65048
Nordeste,2011,37874
Nordeste,2012,64158
Nordeste,2013,27344
Nordeste,2014,36067
Nordeste,2015,49701
Nordeste,2016,33892
Nordeste,2017,35439
Nordeste,2018,26919
Nordeste,2019,33084
Nordeste,2020,31930
Nordeste,2021,42250
Nordeste,2022,38163
Nordeste,2023,43310
Nordeste,2024,38175
Nordeste,2025,42152
Norte,1998,37442
Norte,1999,32459
Norte,2000,26843
Norte,2001,39983
Norte,2002,102099
Norte,2003,99735
Norte,2004,119685
Norte,2005,149160
Norte,2006,97334
Norte,2007,130498
Norte,2008,72740
Norte,2009,51653
Norte,2010,115586
Norte,2011,41326
Norte,2012,68249
Norte,2013,41549
Norte,2014,59536
Norte,2015,74899
Norte,2016,67789
Norte,2017,80656
Norte,2018,53669
Norte,2019,69883
Norte,2020,83688
Norte,2021,63544
Norte,2022,91414
Norte,2023,76360
Norte,2024,111227
Norte,2025,30693
Sudeste,1998,7145
Sudeste,1999,11675
Sudeste,2000,8786
Sudeste,2001,6773
Sudeste,2002,17131
Sudeste,2003,25947
Sudeste,2004,17078
Sudeste,2005,17374
Sudeste,2006,15209
Sudeste,2007,26497
Sudeste,2008,14569
Sudeste,2009,6761
Sudeste,2010,22011
Sudeste,2011,17007
Sudeste,2012,13138
Sudeste,2013,7915
Sudeste,2014,16804
Sudeste,2015,11150
Sudeste,2016,10652
Sudeste,2017,13118
Sudeste,2018,7813
Sudeste,2019,13214
Sudeste,2020,15438
Sudeste,2021,18349
Sudeste,2022,10321
Sudeste,2023,7732
Sudeste,2024,22012
Sudeste,2025,11266
Sul,1998,513
Sul,1999,3038
Sul,2000,2868
Sul,2001,1348
Sul,2002,12237
Sul,2003,22523
Sul,2004,15057
Sul,2005,10125
Sul,2006,14219
Sul,2007,9520
Sul,2008,7201
Sul,2009,7932
Sul,2010,7444
Sul,2011,6506
Sul,2012,6233
Sul,2013,5171
Sul,2014,5222
Sul,2015,4144
Sul,2016,9702
Sul,2017,7054
Sul,2018,5060
Sul,2019,7861
Sul,2020,9121
Sul,2021,7783
Sul,2022,4129
Sul,2023,4258
Sul,2024,5919
Sul,2025,4568